Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACDCW,ProFrac Holding Corp. Warrant,$0.0151,-0.005,-24.876%,0.00,United States,,54280,Energy,Oilfield Services/Equipment
ARKOW,ARKO Corp. Warrant,$1.15,0.03,2.679%,0.00,United States,,2203,Energy,Oil Refining/Marketing
BNMV,BitNile Metaverse Inc. Common Stock,$1.39,-0.31,-18.235%,1745227.00,United States,,209806,Energy,Oil & Gas Production
CHKEL,Chesapeake Energy Corporation Class C Warrants,$59.14,0.00,0.00%,0.00,United States,,18,Energy,Oil & Gas Production
CHKEW,Chesapeake Energy Corporation Class A Warrants,$69.69,2.80,4.186%,0.00,United States,,932,Energy,Oil & Gas Production
CHKEZ,Chesapeake Energy Corporation Class B Warrants,$65.9467,0.00,0.00%,0.00,United States,,2,Energy,Oil & Gas Production
DWSN,Dawson Geophysical Company Common Stock,$1.76,-0.01,-0.565%,44000993.00,United States,,425,Energy,Oil & Gas Production
HPKEW,HighPeak Energy Inc. Warrant,$12.47,-0.01,-0.08%,0.00,United States,,3025,Energy,Oil & Gas Production
MARPS,Marine Petroleum Trust Units of Beneficial Interest,$7.6001,0.0028,0.037%,15200200.00,United States,,2603,Energy,Oil & Gas Production
METCL,Ramaco Resources Inc. 9.00% Senior Notes due 2026,$25.45,0.05,0.197%,0.00,United States,,879,Energy,Coal Mining
NCSM,NCS Multistage Holdings Inc. Common Stock,$18.86,0.15,0.802%,45997220.00,United States,2017,902,Energy,Oilfield Services/Equipment
SLDPW,Solid Power Inc. Warrant,$0.3209,-0.0101,-3.051%,0.00,United States,2021,12362,Energy,Electrical Products
USEG,U.S. Energy Corp. Common Stock (DE),$1.32,0.02,1.538%,33309767.00,United States,,34245,Energy,Oil & Gas Production
VIVK,Vivakor Inc. Common Stock,$1.21,0.0099,0.825%,21858454.00,United States,,14419,Energy,Oilfield Services/Equipment
