Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACON,Aclarion Inc. Common Stock,$0.6901,-0.0499,-6.743%,5425232.00,United States,2022,23685,Technology,Retail: Computer Software & Peripheral Equipment
AMPG,Amplitech Group Inc. Common Stock,$2.44,-0.17,-6.513%,23514556.00,United States,,250441,Technology,Industrial Machinery/Components
AUUD,Auddia Inc. Common Stock,$0.4761,-0.0139,-2.837%,6118223.00,United States,2021,132513,Technology,Computer Software: Prepackaged Software
BEAT,Heartbeam Inc. Common Stock,$2.14,-0.03,-1.382%,17605938.00,United States,2021,17160,Technology,Retail: Computer Software & Peripheral Equipment
BKYI,BIO-key International Inc. Common Stock,$0.73,0.0799,12.29%,6709068.00,United States,,107525,Technology,Computer Software: Prepackaged Software
BLIN,Bridgeline Digital Inc. Common Stock,$0.949,0.0093,0.99%,9886311.00,United States,2007,11707,Technology,EDP Services
CCLD,CareCloud Inc. Common Stock,$3.20,-0.065,-1.991%,49896346.00,United States,2014,7747,Technology,Computer Software: Prepackaged Software
CETX,Cemtrex Inc. Common Stock,$8.93,-0.59,-6.197%,7393406.00,United States,,18559,Technology,Electrical Products
CISO,Cerberus Cyber Sentinel Corporation Common Stock,$0.3003,-0.0297,-9.00%,46299196.00,United States,,1007314,Technology,Computer Software: Prepackaged Software
CYN,Cyngn Inc. Common Stock,$0.82,-0.0001,-0.012%,27650065.00,United States,2021,59317,Technology,EDP Services
DGLY,Digital Ally Inc. Common Stock,$3.4412,-0.0288,-0.83%,9481277.00,United States,,9139,Technology,Radio And Television Broadcasting And Communications Equipment
DUOT,Duos Technologies Group Inc. Common Stock,$3.87,0.02,0.519%,27691986.00,United States,,51191,Technology,Computer Software: Prepackaged Software
ELYS,Elys Game Technology Corp. Common Stock,$0.53,0.001,0.189%,8832502.00,United States,,59550,Technology,Computer Software: Prepackaged Software
EMKR,EMCORE Corporation Common Stock,$0.90,-0.0001,-0.011%,48171685.00,United States,1997,162733,Technology,Semiconductors
EZFL,EzFill Holdings Inc. Common Stock,$2.38,-0.19,-7.393%,7974373.00,United States,2021,16226,Technology,EDP Services
GROM,Grom Social Enterprises Inc. Common Stock,$0.4024,-0.0436,-9.776%,2932762.00,United States,,313816,Technology,Computer Software: Programming Data Processing
GVP,GSE Systems Inc. Common Stock,$0.5451,-0.0706,-11.467%,12842996.00,United States,,190416,Technology,Computer Software: Prepackaged Software
HCTI,Healthcare Triangle Inc. Common Stock,$0.268,-0.0112,-4.011%,11384308.00,United States,2021,59971,Technology,Retail: Computer Software & Peripheral Equipment
IDAI,T Stamp Inc. Class A Common Stock,$1.46,-0.08,-5.195%,8302621.00,United States,,139611,Technology,Computer Software: Prepackaged Software
IDN,Intellicheck Inc. Common Stock,$2.34,-0.02,-0.847%,44543751.00,United States,1999,22178,Technology,Computer Software: Prepackaged Software
ISUN,iSun Inc. Common Stock,$0.5607,-0.0493,-8.082%,9987745.00,United States,2016,202928,Technology,Semiconductors
IVDA,Iveda Solutions Inc. Common Stock,$1.20,-0.04,-3.226%,19215167.00,United States,,89072,Technology,Security Systems Services
KBNT,Kubient Inc. Common Stock,$0.51,-0.1201,-19.06%,7403129.00,United States,2020,341788,Technology,EDP Services
LFLY,Leafly Holdings Inc. Common Stock,$0.35,-0.02,-5.405%,14272094.00,United States,2019,200755,Technology,Computer Software: Prepackaged Software
MGAM,Mobile Global Esports Inc. Common Stock,$0.5401,-0.0024,-0.442%,11029702.00,United States,2022,84386,Technology,EDP Services
OIG,Orbital Infrastructure Group Inc. Common Stock,$2.20,0.02,0.917%,10200529.00,United States,,23434,Technology,Electronic Components
ONDS,Ondas Holdings Inc. Common Stock,$0.8661,-0.0592,-6.398%,42492624.00,United States,,312562,Technology,Radio And Television Broadcasting And Communications Equipment
PALT,Paltalk Inc. Common Stock,$2.56,0.06,2.40%,23608722.00,United States,,26445,Technology,EDP Services
PRSO,Peraso Inc. Common Stock,$0.30,-0.07,-18.919%,7012940.00,United States,,660625,Technology,Semiconductors
RFIL,RF Industries Ltd. Common Stock,$3.935,0.065,1.68%,40495349.00,United States,,13491,Technology,Electrical Products
RGTI,Rigetti Computing Inc. Common Stock,$0.5135,-0.0014,-0.272%,0.00,United States,,756941,Technology,Retail: Computer Software & Peripheral Equipment
SBIG,SpringBig Holdings Inc. Common Stock,$0.4801,-0.0397,-7.638%,12934298.00,United States,2021,289696,Technology,EDP Services
SNCE,Science 37 Holdings Inc. Common Stock,$0.2652,0.0152,6.08%,30956645.00,United States,2020,351732,Technology,Computer Software: Prepackaged Software
SOFO,Sonic Foundry Inc. Common Stock,$0.8836,-0.0039,-0.439%,10669921.00,United States,,6821,Technology,Computer Software: Prepackaged Software
SOPA,Society Pass Incorporated Common Stock,$0.91,-0.0478,-4.991%,24645393.00,United States,2021,59318,Technology,EDP Services
SUNW,Sunworks Inc. Common Stock,$0.8491,-0.0509,-5.656%,14119677.00,United States,,530228,Technology,Semiconductors
TMPO,Tempo Automation Holdings Inc. Common Stock,$0.2595,-0.0265,-9.266%,7043100.00,United States,2020,479738,Technology,Industrial Machinery/Components
UTRS,Minerva Surgical Inc. Common Stock,$0.2281,0.0086,3.918%,40300870.00,United States,2021,27078,Technology,Computer Software: Prepackaged Software
VRME,VerifyMe Inc. Common Stock,$1.57,-0.01,-0.633%,14697982.00,United States,,12912,Technology,EDP Services
WATT,Energous Corporation Common Stock,$0.305,0.0034,1.127%,27764769.00,United States,2014,283472,Technology,Radio And Television Broadcasting And Communications Equipment
WISA,WiSA Technologies Inc. Common Stock,$1.34,-0.27,-16.77%,5094617.00,United States,2018,2719199,Technology,Semiconductors
